SiteName,Treatment,Month,W_Avail_Layer1_mpmo,W_Avail_Layer2_mpmo,W_Avail_Layer3_mpmo,W_Avail_Layer4_mpmo,N_Avail_Layer1_Mpm2mo,N_Avail_Layer2_Mpm2mo,N_Avail_Layer3_Mpm2mo,N_Avail_Layer4_Mpm2mo,P_Avail_Layer1_Mpm2mo,P_Avail_Layer2_Mpm2mo,P_Avail_Layer3_Mpm2mo,P_Avail_Layer4_Mpm2mo,Ca_Avail_Layer1_Mpm2mo,Ca_Avail_Layer2_Mpm2mo,Ca_Avail_Layer3_Mpm2mo,Ca_Avail_Layer4_Mpm2mo,Mg_Avail_Layer1_Mpm2mo,Mg_Avail_Layer2_Mpm2mo,Mg_Avail_Layer3_Mpm2mo,Mg_Avail_Layer4_Mpm2mo,K_Avail_Layer1_Mpm2mo,K_Avail_Layer2_Mpm2mo,K_Avail_Layer3_Mpm2mo,K_Avail_Layer4_Mpm2mo
Plynlimon,P1970,1,0.014187064,0.014187064,0.014187064,0.014187064,0.1869,0.04005,0.0267,0.01335,0.01365,0.002925,0.00195,0.000975,0.042,0.009,0.006,0.003,0.0343,0.00735,0.0049,0.00245,0.5,0.5,0.5,0.5
Plynlimon,P1970,2,0.004525184,0.004525184,0.004525184,0.004525184,0.1869,0.04005,0.0267,0.01335,0.01365,0.002925,0.00195,0.000975,0.042,0.009,0.006,0.003,0.0343,0.00735,0.0049,0.00245,0.5,0.5,0.5,0.5
Plynlimon,P1970,3,0.032043197,0.032043197,0.032043197,0.032043197,0.1869,0.04005,0.0267,0.01335,0.01365,0.002925,0.00195,0.000975,0.042,0.009,0.006,0.003,0.0343,0.00735,0.0049,0.00245,0.5,0.5,0.5,0.5
Plynlimon,P1970,4,0.087568433,0.087568433,0.087568433,0.087568433,0.1869,0.04005,0.0267,0.01335,0.01365,0.002925,0.00195,0.000975,0.042,0.009,0.006,0.003,0.0343,0.00735,0.0049,0.00245,0.5,0.5,0.5,0.5
Plynlimon,P1970,5,0.08206483,0.08206483,0.08206483,0.08206483,0.1869,0.04005,0.0267,0.01335,0.01365,0.002925,0.00195,0.000975,0.042,0.009,0.006,0.003,0.0343,0.00735,0.0049,0.00245,0.5,0.5,0.5,0.5
Plynlimon,P1970,6,0.077417343,0.077417343,0.077417343,0.077417343,0.1869,0.04005,0.0267,0.01335,0.01365,0.002925,0.00195,0.000975,0.042,0.009,0.006,0.003,0.0343,0.00735,0.0049,0.00245,0.5,0.5,0.5,0.5
Plynlimon,P1970,7,0.092215919,0.092215919,0.092215919,0.092215919,0.1869,0.04005,0.0267,0.01335,0.01365,0.002925,0.00195,0.000975,0.042,0.009,0.006,0.003,0.0343,0.00735,0.0049,0.00245,0.5,0.5,0.5,0.5
Plynlimon,P1970,8,0.049410121,0.049410121,0.049410121,0.049410121,0.1869,0.04005,0.0267,0.01335,0.01365,0.002925,0.00195,0.000975,0.042,0.009,0.006,0.003,0.0343,0.00735,0.0049,0.00245,0.5,0.5,0.5,0.5
Plynlimon,P1970,9,0.062618767,0.062618767,0.062618767,0.062618767,0.1869,0.04005,0.0267,0.01335,0.01365,0.002925,0.00195,0.000975,0.042,0.009,0.006,0.003,0.0343,0.00735,0.0049,0.00245,0.5,0.5,0.5,0.5
Plynlimon,P1970,10,0.042316589,0.042316589,0.042316589,0.042316589,0.1869,0.04005,0.0267,0.01335,0.01365,0.002925,0.00195,0.000975,0.042,0.009,0.006,0.003,0.0343,0.00735,0.0049,0.00245,0.5,0.5,0.5,0.5
Plynlimon,P1970,11,0.089402967,0.089402967,0.089402967,0.089402967,0.1869,0.04005,0.0267,0.01335,0.01365,0.002925,0.00195,0.000975,0.042,0.009,0.006,0.003,0.0343,0.00735,0.0049,0.00245,0.5,0.5,0.5,0.5
Plynlimon,P1970,12,0.006359719,0.006359719,0.006359719,0.006359719,0.1869,0.04005,0.0267,0.01335,0.01365,0.002925,0.00195,0.000975,0.042,0.009,0.006,0.003,0.0343,0.00735,0.0049,0.00245,0.5,0.5,0.5,0.5
Plynlimon,P1970,13,0.042194287,0.042194287,0.042194287,0.042194287,0.1869,0.04005,0.0267,0.01335,0.01365,0.002925,0.00195,0.000975,0.042,0.009,0.006,0.003,0.0343,0.00735,0.0049,0.00245,0.5,0.5,0.5,0.5
Plynlimon,P1970,14,0.076438925,0.076438925,0.076438925,0.076438925,0.1869,0.04005,0.0267,0.01335,0.01365,0.002925,0.00195,0.000975,0.042,0.009,0.006,0.003,0.0343,0.00735,0.0049,0.00245,0.5,0.5,0.5,0.5
Plynlimon,P1970,15,0.044151123,0.044151123,0.044151123,0.044151123,0.1869,0.04005,0.0267,0.01335,0.01365,0.002925,0.00195,0.000975,0.042,0.009,0.006,0.003,0.0343,0.00735,0.0049,0.00245,0.5,0.5,0.5,0.5
Plynlimon,P1970,16,0.074237484,0.074237484,0.074237484,0.074237484,0.1869,0.04005,0.0267,0.01335,0.01365,0.002925,0.00195,0.000975,0.042,0.009,0.006,0.003,0.0343,0.00735,0.0049,0.00245,0.5,0.5,0.5,0.5
Plynlimon,P1970,17,0.064208697,0.064208697,0.064208697,0.064208697,0.1869,0.04005,0.0267,0.01335,0.01365,0.002925,0.00195,0.000975,0.042,0.009,0.006,0.003,0.0343,0.00735,0.0049,0.00245,0.5,0.5,0.5,0.5
Plynlimon,P1970,18,0.074237484,0.074237484,0.074237484,0.074237484,0.1869,0.04005,0.0267,0.01335,0.01365,0.002925,0.00195,0.000975,0.042,0.009,0.006,0.003,0.0343,0.00735,0.0049,0.00245,0.5,0.5,0.5,0.5
Plynlimon,P1970,19,0.125971349,0.125971349,0.125971349,0.125971349,0.1869,0.04005,0.0267,0.01335,0.01365,0.002925,0.00195,0.000975,0.042,0.009,0.006,0.003,0.0343,0.00735,0.0049,0.00245,0.5,0.5,0.5,0.5
Plynlimon,P1970,20,0.013453251,0.013453251,0.013453251,0.013453251,0.1869,0.04005,0.0267,0.01335,0.01365,0.002925,0.00195,0.000975,0.042,0.009,0.006,0.003,0.0343,0.00735,0.0049,0.00245,0.5,0.5,0.5,0.5
Plynlimon,P1970,21,0.012597135,0.012597135,0.012597135,0.012597135,0.1869,0.04005,0.0267,0.01335,0.01365,0.002925,0.00195,0.000975,0.042,0.009,0.006,0.003,0.0343,0.00735,0.0049,0.00245,0.5,0.5,0.5,0.5
Plynlimon,P1970,22,0.089158362,0.089158362,0.089158362,0.089158362,0.1869,0.04005,0.0267,0.01335,0.01365,0.002925,0.00195,0.000975,0.042,0.009,0.006,0.003,0.0343,0.00735,0.0049,0.00245,0.5,0.5,0.5,0.5
Plynlimon,P1970,23,0.074237484,0.074237484,0.074237484,0.074237484,0.1869,0.04005,0.0267,0.01335,0.01365,0.002925,0.00195,0.000975,0.042,0.009,0.006,0.003,0.0343,0.00735,0.0049,0.00245,0.5,0.5,0.5,0.5
