Month,Temp_oC,NutAvail_N_Mpm2mo,NutAvail_P_Mpm2mo,NutAvail_Ca_Mpm2mo,NutAvail_Mg_Mpm2mo,NutAvail_K_Mpm2mo,PAR_uMpm2s,WaterAccessible_mpmo,AtmosphCO2_uLpL,Herbivores_kgLivepha,MaxCfixGivenTemp_prop,MaxCfixGivenLight_prop,MaxCfixGivenWater_prop,MaxCfixGivenCO2_prop,MaxCFixGivenN_prop,MaxCFixGivenP_prop,MaxCFixGivenCa_prop,MaxCFixGivenMg_prop,MaxCFixGivenK_prop,Plant_C_Mpm2,Plant_N_Mpm2,Uptake_C_Mpm2mo,Uptake_N_Mpm2mo,Uptake_P_Mpm2mo,Uptake_Ca_Mpm2mo,Uptake_Mg_Mpm2mo,Uptake_K_Mpm2mo,RootLengthDensity_Layer1_mpm3,RootLengthDensity_Layer2_mpm3,RootLengthDensity_Layer3_mpm3,RootLengthDensity_Layer4_mpm3,MycorLengthDensity_Layer1_mpcm3,MycorLengthDensity_Layer2_mpcm3,MycorLengthDensity_Layer3_mpcm3,MycorLengthDensity_Layer4_mpcm3,Litterfall_C_Layer1_Mpm2mo,Litterfall_C_Layer2_Mpm2mo,Litterfall_C_Layer3_Mpm2mo,Litterfall_C_Layer4_Mpm2mo,Leaf_C_Mpm2,Wood_C_Mpm2,Root_C_Mpm2,Mycor_C_Mpm2,Leaf_N_Mpm2,Wood_N_Mpm2,Root_N_Mpm2,Kdrought_Leaf, Kseasonal_Leaf, KHerbivory_Leaf,Kdrought_Wood, Kseasonal_Wood, KHerbivory_Wood,Kdrought_Root, Kseasonal_Root, KHerbivory_Root 
     1.000,     0.547,     0.267,     0.019,     0.060,     0.049,     2.000,   465.146,     0.044,   395.000,   118.000,     0.083,     0.568,     0.431,     1.002,     0.166,     0.194,     0.464,     1.848,     6.770,     4.593,     0.204,     4.405,     0.156,     0.010,     0.013,     0.003,     0.023,   834.614,   393.728,    43.844,     0.029,    16.215,     7.649,     0.852,     0.001,     0.749,     0.253,     0.225,     0.001,     1.917,     0.000,     1.580,     1.096,     0.058,     0.000,     0.019,     0.000,     0.100,     0.057,     0.000,     0.000,     0.003,     0.000,     0.100,     0.030,
     2.000,     0.401,     0.267,     0.019,     0.060,     0.049,     2.000,   490.043,     0.014,   395.000,   118.000,     0.078,     0.587,     0.142,     1.002,     0.185,     0.211,     0.487,     1.879,     6.997,     7.173,     0.308,     4.128,     0.139,     0.009,     0.011,     0.002,     0.020,  1310.537,   618.244,    68.845,     0.045,    23.551,    11.110,     1.237,     0.001,     0.939,     0.280,     0.250,     0.001,     3.100,     0.000,     2.481,     1.592,     0.093,     0.000,     0.029,     0.000,     0.100,     0.057,     0.000,     0.000,     0.003,     0.028,     0.100,     0.030,
     3.000,     1.933,     0.267,     0.019,     0.060,     0.049,     2.000,   649.036,     0.104,   395.000,   118.000,     0.151,     0.690,     1.000,     1.002,     0.197,     0.222,     0.500,     1.900,     7.181,    13.126,     0.553,     7.985,     0.269,     0.017,     0.022,     0.005,     0.039,  2436.825,  1149.569,   128.011,     0.084,    41.510,    19.582,     2.181,     0.001,     1.158,     0.382,     0.340,     0.001,     5.707,     0.000,     4.613,     2.806,     0.172,     0.000,     0.055,     0.000,     0.001,     0.057,     0.000,     0.000,     0.003,     0.000,     0.001,     0.030,
     4.000,     3.641,     0.267,     0.019,     0.060,     0.049,     2.000,   833.814,     0.302,   395.000,   118.000,     0.289,     0.778,     1.000,     1.002,     0.223,     0.246,     0.532,     1.948,     7.631,    21.805,     0.859,    11.786,     0.260,     0.019,     0.032,     0.007,     0.058,  4083.968,  1926.607,   214.539,     0.141,    67.813,    31.990,     3.562,     0.002,     1.796,     0.574,     0.512,     0.001,     9.489,     0.000,     7.731,     4.585,     0.234,     0.000,     0.092,     0.000,     0.001,     0.057,     0.000,     0.000,     0.003,     0.000,     0.001,     0.030,
     5.000,     7.100,     0.267,     0.019,     0.060,     0.049,     2.000,   979.960,     0.306,   395.000,   118.000,     0.685,     0.829,     1.000,     1.002,     0.227,     0.272,     0.579,     2.019,     8.290,    30.284,     1.159,    11.998,     0.263,     0.026,     0.033,     0.007,     0.059,  5712.352,  2694.795,   300.082,     0.197,    93.817,    44.258,     4.928,     0.003,     2.116,     0.621,     0.553,     0.001,    13.128,     0.000,    10.814,     6.343,     0.293,     0.000,     0.129,     0.000,     0.001,     0.057,     0.000,     0.000,     0.003,     0.000,     0.001,     0.030,
     6.000,     9.536,     0.267,     0.019,     0.060,     0.049,     2.000,  1065.523,     0.310,   395.000,   118.000,     0.876,     0.854,     1.000,     1.002,     0.231,     0.315,     0.624,     2.086,     8.906,    38.577,     1.455,    12.214,     0.267,     0.025,     0.034,     0.007,     0.060,  7323.043,  3454.637,   384.695,     0.252,   119.540,    56.393,     6.280,     0.004,     2.427,     0.666,     0.594,     0.001,    16.633,     0.000,    13.863,     8.082,     0.351,     0.000,     0.165,     0.000,     0.010,     0.057,     0.000,     0.000,     0.003,     0.000,     0.010,     0.030,
     7.000,    11.800,     0.267,     0.019,     0.060,     0.049,     2.000,  1123.948,     0.369,   395.000,   118.000,     0.955,     0.868,     1.000,     1.002,     0.233,     0.345,     0.661,     2.127,     8.937,    43.788,     1.629,    12.318,     0.267,     0.026,     0.034,     0.007,     0.061,  8259.784,  3896.543,   433.904,     0.285,   134.314,    63.362,     7.056,     0.005,     4.630,     1.185,     1.055,     0.003,    19.071,     0.000,    15.636,     9.081,     0.387,     0.000,     0.186,     0.000,     0.100,     0.057,     0.000,     0.000,     0.003,     0.000,     0.100,     0.030,
     8.000,    11.514,     0.267,     0.019,     0.060,     0.049,     2.000,  1060.860,     0.198,   395.000,   118.000,     0.948,     0.852,     1.000,     1.002,     0.231,     0.365,     0.686,     2.153,     8.957,    43.026,     1.585,    12.219,     0.267,     0.025,     0.034,     0.007,     0.060,  8079.462,  3811.477,   424.431,     0.278,   131.018,    61.808,     6.883,     0.005,     8.960,     2.001,     1.783,     0.004,    18.874,     0.000,    15.295,     8.858,     0.373,     0.000,     0.182,     0.000,     0.200,     0.057,     0.000,     0.000,     0.003,     0.000,     0.200,     0.030,
     9.000,     9.216,     0.267,     0.019,     0.060,     0.049,     2.000,   916.075,     0.250,   395.000,   118.000,     0.858,     0.808,     1.000,     1.002,     0.223,     0.363,     0.683,     2.149,     8.955,    31.609,     1.155,    11.804,     0.267,     0.024,     0.032,     0.007,     0.058,  5913.980,  2789.913,   310.674,     0.204,    95.687,    45.140,     5.027,     0.003,    16.534,     3.414,     3.042,     0.007,    13.945,     0.000,    11.195,     6.469,     0.270,     0.000,     0.133,     0.000,     0.400,     0.057,     0.000,     0.000,     0.003,     0.000,     0.400,     0.030,
    10.000,     6.386,     0.267,     0.019,     0.060,     0.049,     2.000,   621.325,     0.169,   395.000,   118.000,     0.606,     0.674,     1.000,     1.002,     0.206,     0.321,     0.631,     2.093,     8.913,    16.212,     0.590,    10.905,     0.267,     0.023,     0.030,     0.006,     0.054,  3022.277,  1425.755,   158.766,     0.104,    48.791,    23.017,     2.563,     0.002,    18.874,     3.815,     3.398,     0.008,     7.192,     0.000,     5.721,     3.299,     0.139,     0.000,     0.068,     0.000,     0.600,     0.057,     0.000,     0.000,     0.003,     0.000,     0.600,     0.030,
